title,price,location,listing_url,city,matched_keywords,scraped_at,unique_id
Extra! Extra! New 2bed2bath condo! Move in Ready! Wont last!,149900,Columbus,https://www.craigslist.org/view/d/columbus-extra-extra-new-2bed2bath/ggPNQdABZK4vyThuyTMpHi,columbus,[],2026-07-19T03:55:07.725233,fe79c66de1169cbc
Move in Ready 2 bed 2 bath condo with Spacious basement in Hardesty Village!,149900,Columbus,https://www.craigslist.org/view/d/columbus-move-in-ready-bed-bath-condo/nFc2Cv4jXdFmERKhTmNtYk,columbus,[],2026-07-19T03:55:07.802813,0da84475b17438b5
New listing! Two bedroom two bath condo with a full basement and carport!,149900,Columbus,https://www.craigslist.org/view/d/columbus-new-listing-two-bedroom-two/kHyXCAtfzJJ2Qsxxqs1r1G,columbus,[],2026-07-19T03:55:07.811864,06933c72645b1843
Opportunity Knocks.....investor or business,179900,Westgate,https://www.craigslist.org/view/d/columbus-opportunity-knocksinvestor-or/ou53TchGGhQYh4wmotgRwH,columbus,[],2026-07-19T03:55:07.819918,89a4b5ef3d38f24b
2 Upland Terrace,249900,"Mount Vernon, OH",https://www.craigslist.org/view/d/mount-vernon-upland-terrace/rvCVr7QTjD3R5hHVBtdDc5,columbus,[],2026-07-19T03:55:07.827925,4adbfd8cf590c7b2
Youngstown investment property for sale,80000,Westside,https://www.craigslist.org/view/d/blacklick-youngstown-investment/9yQkrUEFgk8Y47UEnh3gJj,columbus,['investment'],2026-07-19T03:55:07.835653,00d7911510a20e0d
127 S James Rd,200000,Columbus,https://www.craigslist.org/view/d/columbus-127-james-rd/cNTyU4zBSABjvVJZjaaHXV,columbus,[],2026-07-19T03:55:07.843471,d7909fe1284db21a
3358 Noe Bixby Rd,175000,Columbus,https://www.craigslist.org/view/d/columbus-3358-noe-bixby-rd/abaesxXSLDv628TZ4MUTqP,columbus,[],2026-07-19T03:55:07.852573,2638342a542c1c7e
5130 Rutledge Dr. N,200000,Columbus,https://www.craigslist.org/view/d/columbus-5130-rutledge-dr/gNicYadDVuiwiJ35HBJdjK,columbus,[],2026-07-19T03:55:07.859857,f77de58bea0db4ac
5368 Wendover Dr,175000,Columbus,https://www.craigslist.org/view/d/brice-5368-wendover-dr/bD2VytvjWZkSibrLC4d7Tn,columbus,[],2026-07-19T03:55:07.868067,b87e5d62cfafb76b
4667 Janis Dr,175000,Columbus,https://www.craigslist.org/view/d/columbus-4667-janis-dr/jLHVKh9eajskkRnfE5zTTL,columbus,[],2026-07-19T03:55:07.876432,54666b6d4f328446
285 S James Rd.,250000,Columbus,https://www.craigslist.org/view/d/columbus-285-james-rd/uTSwstVme9LN2V6KMTKKM3,columbus,[],2026-07-19T03:55:07.885560,2e887d476dd61106
4944 Attica Dr,150000,Columbus,https://www.craigslist.org/view/d/columbus-4944-attica-dr/jK6UR9Dwjf6TQ9SgG8HJDr,columbus,[],2026-07-19T03:55:07.894491,233df55cf66627d1
1324 Elderwood Ave,150000,Columbus,https://www.craigslist.org/view/d/columbus-1324-elderwood-ave/1Ji812BZC4o3UDuW2NAwbg,columbus,[],2026-07-19T03:55:07.917550,9d51a402fbde5572
3656 Beechton Rd,175000,Columbus,https://www.craigslist.org/view/d/columbus-3656-beechton-rd/6PdavptDmspvRfULtAAt95,columbus,[],2026-07-19T03:55:07.933742,c82997888966ccb5
80K Seller Financed 3 Story Home at 0% Interest,80000,Columbus Ohio,https://www.craigslist.org/view/d/columbus-80k-seller-financed-story-home/bR9rwwyWqGQRTKR2gDvZ3k,columbus,[],2026-07-19T03:55:07.946594,e41967eecafc03d4
